"","X","n_genes","n_counts","percent_mito","log10_n_counts","log_n_counts","norm_log_counts","log10_usable_counts","log_usable_counts","leiden","subtype"
"279","X279_R269_ND_Male_1",3737,758940,0,5.8802075,13.539678,7.526014,5.1487136,11.855351,0,"beta1"
"280","X280_R269_ND_Male_10",3855,679385,0,5.832116,13.428943,7.86219,5.2466216,12.080793,0,"beta1"
"281","X281_R269_ND_Male_10",3865,763774,0,5.882965,13.546027,8.021427,5.3666267,12.357114,1,"beta2"
"282","X282_R269_ND_Male_10",2755,759674,0,5.880627,13.540645,8.0647135,5.383088,12.395018,0,"beta1"
"283","X283_R269_ND_Male_10",4001,203845,0,5.3093,12.225115,8.509901,5.005103,11.524676,1,"beta2"
"284","X284_R269_ND_Male_5",4464,823542,0,5.9156857,13.62137,7.9328947,5.360898,12.3439245,0,"beta1"
"285","X285_R269_ND_Male_1",4156,661610,0,5.820602,13.4024315,7.7317576,5.178462,11.923849,1,"beta2"
"286","X286_R269_ND_Male_10",4878,682508,0,5.834108,13.433529,7.8959794,5.263288,12.119169,0,"beta1"
"287","X287_R269_ND_Male_10",5000,809917,0,5.9084406,13.604687,7.729762,5.2654333,12.124109,0,"beta1"
"288","X288_R269_ND_Male_10",4732,907921,0,5.958048,13.718913,7.8836975,5.3818946,12.39227,0,"beta1"
"289","X289_R269_ND_Male_10",4517,945503,0,5.9756627,13.759473,7.3468766,5.166371,11.896009,0,"beta1"
"290","X290_R269_ND_Male_5",5107,819128,0,5.913352,13.615995,7.785791,5.2946777,12.191446,0,"beta1"
"291","X291_R269_ND_Male_5",4594,496764,0,5.6961503,13.1158695,7.587458,4.991341,11.492989,1,"beta2"
"292","X292_R269_ND_Male_5",5196,1071952,0,6.030175,13.884992,7.911804,5.4662285,12.586456,0,"beta1"
"293","X293_R269_ND_Male_5",5557,977728,0,5.990218,13.792987,8.139084,5.524977,12.72173,1,"beta2"
"294","X294_R269_ND_Male_5",3926,760246,0,5.8809543,13.541397,7.8094206,5.2725425,12.140477,0,"beta1"
"295","X295_R308_ND_Male_5",12443,873051,0,5.9410396,13.6797495,7.8199797,5.3372135,12.289389,0,"beta1"
"296","X296_R335_ND_Male_5",7116,766271,0,5.8843822,13.549292,7.748,5.249296,12.086951,0,"beta1"
"297","X297_R336_ND_Female_5",6318,474362,0,5.67611,13.069726,7.9950566,5.148319,11.854443,1,"beta2"
"298","X298_R341_ND_Male_5",6689,2114341,0,6.325175,14.564254,7.0747867,5.397716,12.4287,1,"beta2"
"299","X299_R342_ND_Male_5",9421,485259,0,5.6859736,13.092438,8.082444,5.1961346,11.964542,0,"beta1"
"300","X300_R342_ND_Male_5",5992,229183,0,5.3601823,12.342277,7.588508,4.65583,10.720444,0,"beta1"
"301","X301_R342_ND_Male_5",9711,403856,0,5.6062264,12.908813,7.7458735,4.9702168,11.444347,0,"beta1"
"302","X302_R342_ND_Male_5",4990,336259,0,5.526674,12.725637,7.883082,4.950253,11.398378,1,"beta2"
"303","X303_R342_ND_Male_5",5689,498526,0,5.6976876,13.1194105,7.6917834,5.038187,11.600855,1,"beta2"
"304","X304_R346_ND_Male_5",7344,663448,0,5.821807,13.405206,7.809024,5.213223,12.00389,1,"beta2"
"305","X305_R346_ND_Male_10",5236,596748,0,5.775791,13.29925,5.7373724,4.2675004,9.8262825,0,"beta1"
"306","X306_R346_ND_Male_5",10120,658513,0,5.8185644,13.397739,7.92068,5.258472,12.10808,0,"beta1"
"307","X307_R346_ND_Male_1",8227,741530,0,5.8701286,13.516471,7.301732,5.0412307,11.607863,0,"beta1"
"308","X308_R347_T2D_Male_5",4417,198645,0,5.2980776,12.199275,7.702579,4.6432652,10.691512,1,"beta2"
"309","X309_R347_T2D_Male_5",6642,365994,0,5.563474,12.810372,7.8175273,4.958583,11.41756,1,"beta2"
"310","X310_R347_T2D_Male_5",4467,281304,0,5.449176,12.547192,5.8351645,3.9833555,9.172016,1,"beta2"
"311","X311_R347_T2D_Male_5",4964,420190,0,5.6234455,12.948462,7.148717,4.728094,10.886839,1,"beta2"
"312","X312_R347_T2D_Male_5",5562,556058,0,5.74512,13.228627,7.534445,5.017288,11.552733,1,"beta2"
"313","X313_R347_T2D_Male_5",4085,332144,0,5.5213265,12.713324,7.317075,4.6990914,10.820058,1,"beta2"
"314","X314_R349_T2D_Male_5",5838,868218,0,5.9386287,13.674198,7.775751,5.3155947,12.239609,1,"beta2"
"315","X315_R352_ND_Female_5",11964,1221148,0,6.086768,14.015302,7.071648,5.157946,11.876611,0,"beta1"
"316","X316_R353_ND_Male_5",7166,92248,0,4.9649568,11.432236,7.411291,4.18364,9.633187,0,"beta1"
